8/6までの購入数,,,合計購入数,累積販売台数,残,累積販売台数,8/7以降の購入数,Wed Aug 07 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 14 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 21 2024 00:00:00 GMT+0900 (Japan Standard Time),返品修理,Wed Aug 28 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 04 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 11 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 25 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Oct 08 2024 00:00:00 GMT+0900 (Japan Standard Time),10/4福山→東京在庫移管,Wed Oct 16 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Oct 24 2024 00:00:00 GMT+0900 (Japan Standard Time),福山→東京,Wed Oct 30 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 06 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Nov 19 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 27 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 10 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Dec 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 24 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 31 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Jan 09 2025 00:00:00 GMT+0900 (Japan Standard Time),Sun Jan 19 2025 00:00:00 GMT+0900 (Japan Standard Time),Wed Jan 22 2025 00:00:00 GMT+0900 (Japan Standard Time)
発送済み,広島から発送,6988,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724114098718-fpswd5j1x2f.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6989,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724200785352-g8lnx3l9on.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6992,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724285950656-78zsuk4y48v.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6994,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724286281753-9echveynz6a.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6995,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724286388379-o8sy198es7.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6998,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724286526122-31t8hyce9us.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,6999,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724287844632-9d4f7ld60tt.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7001,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724373588439-6r3rx5caqw.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7004,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724631271258-iwowzblkjmp.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7005,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724631369566-ubo59rz869.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7006,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724631582189-cy51o6wq69n.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7013,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724631774741-qburfmu7my.pdf,,,,,,,,,,,,,,,,,,,,,,,
